,0,1,2,3,4,5,6,7,8,9,10
0,1.0,9.666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0
1,1.0,15.541666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,22.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,2.0
3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,1.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
6,1.0,6.666666666666667,0.0,0.0,1.0,0.9971563981042654,1.0,0.0,1.0,1.0,3.0
7,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,1.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,2.0
10,1.0,7.166666666666667,0.0,0.0,1.0,0.995260663507109,1.0,1.0,1.0,1.0,2.0
11,1.0,24.916666666666668,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,0.0,0.0,1.0,0.8997429305912596,1.0,1.0,1.0,1.0,2.0
13,1.0,14.958333333333334,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
14,1.0,4.791666666666667,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9722222222222222,3.0
15,1.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,11.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,8.458333333333334,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9722222222222222,4.0
19,1.0,19.708333333333332,0.0,0.0,1.0,0.99687255668491,1.0,1.0,1.0,1.0,3.0
20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
22,1.0,24.083333333333332,1.0,1.0,1.0,0.9984362783424551,1.0,0.0,1.0,0.9722222222222222,4.0
23,1.0,7.291666666666667,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
24,1.0,2.6666666666666665,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
25,1.0,10.958333333333334,1.0,1.0,1.0,0.9976544175136826,1.0,1.0,1.0,1.0,2.0
26,1.0,17.0,0.0,0.0,1.0,0.9707779886148008,1.0,0.0,1.0,1.0,4.0
27,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,1.0,18.0,0.0,0.0,1.0,0.967741935483871,1.0,0.0,1.0,0.9722222222222222,5.0
29,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
30,1.0,28.833333333333332,1.0,1.0,1.0,0.9685009487666034,1.0,0.0,1.0,1.0,3.0
31,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,1.0,6.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,26.0,0.0,0.0,1.0,0.7024029574861368,1.0,1.0,1.0,1.0,2.0
35,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
36,1.0,7.708333333333333,0.0,0.0,1.0,0.9914040114613181,1.0,1.0,1.0,0.9692307692307692,3.0
37,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,1.0,17.208333333333332,0.0,0.0,1.0,0.9942528735632183,1.0,1.0,1.0,1.0,2.0
39,1.0,5.375,0.0,0.0,0.8571428571428571,0.628099173553719,1.0,1.0,1.0,0.9692307692307692,4.0
40,1.0,26.791666666666668,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
43,1.0,55.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9692307692307692,2.0
44,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
48,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,1.0,17.625,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
51,1.0,8.083333333333334,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
52,1.0,18.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9692307692307692,2.0
53,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
56,1.0,30.791666666666668,0.0,0.0,1.0,0.9844357976653697,1.0,1.0,1.0,1.0,2.0
57,1.0,8.791666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,1.0,4.666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,1.0,13.166666666666666,1.0,1.0,1.0,0.9973136333109469,1.0,0.0,1.0,1.0,3.0
60,1.0,5.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
61,1.0,13.583333333333334,1.0,1.0,1.0,0.9986568166554735,1.0,0.0,1.0,0.9722222222222222,4.0
62,1.0,10.125,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
63,1.0,3.875,1.0,1.0,1.0,0.9557093425605536,1.0,0.0,1.0,1.0,3.0
64,1.0,8.916666666666666,1.0,1.0,1.0,0.9942897930049964,1.0,0.0,1.0,1.0,3.0
65,1.0,19.125,0.0,0.0,1.0,0.9971448965024983,1.0,0.0,1.0,0.9722222222222222,5.0
66,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67,1.0,10.625,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
68,1.0,5.916666666666667,0.0,0.0,1.0,0.9967891544773457,1.0,0.0,1.0,1.0,4.0
69,1.0,19.666666666666668,0.0,0.0,1.0,0.9992867332382311,1.0,0.0,1.0,1.0,4.0
70,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
71,1.0,7.75,0.0,0.0,1.0,0.9985734664764622,1.0,0.0,1.0,0.9722222222222222,4.0
72,0.0,3.8333333333333335,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
73,1.0,17.458333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
74,0.0,6.666666666666667,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.975609756097561,4.0
75,1.0,9.958333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,0.0,7.333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
77,1.0,16.625,1.0,1.0,1.0,0.9975186104218362,1.0,0.0,1.0,1.0,3.0
78,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
79,1.0,9.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.975609756097561,3.0
80,1.0,8.458333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,0.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
82,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,0.0,5.583333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.975609756097561,4.0
84,1.0,10.958333333333334,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
85,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
86,1.0,16.916666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,1.0,7.916666666666667,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
88,0.0,9.708333333333334,1.0,1.0,1.0,0.9566765578635015,1.0,0.0,1.0,1.0,4.0
89,0.0,11.041666666666666,1.0,0.0,1.0,0.790665751544269,1.0,1.0,0.0,0.9634146341463414,6.0
90,1.0,6.958333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
91,1.0,9.458333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,0.0,24.458333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975609756097561,3.0
93,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
94,1.0,1.4166666666666667,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
95,1.0,7.958333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,1.0,9.041666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,1.0,13.666666666666666,1.0,1.0,1.0,0.8599250936329588,1.0,0.0,1.0,1.0,3.0
98,0.0,4.333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.975609756097561,4.0
99,1.0,10.041666666666666,0.0,0.0,1.0,0.9947159841479525,1.0,1.0,1.0,1.0,3.0
100,1.0,9.625,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
101,1.0,11.625,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9807692307692307,5.0
