real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
c1579949-3fb1-4a2a-8a10-4bcba6e0cab7,1,33,33.000000,33
92ef2ca8-10c2-4b32-a999-3af1b85502c7,2,28,14.000000,19
5b42ea58-d3a6-491a-98ea-d6cb61b21abe,1,60,60.000000,60
9c862f56-7315-43ed-9922-be53b612c26b,1,118,118.000000,118
b2adc949-f710-48f8-8159-5533f440730d,4,117,29.250000,83
7cc462c2-3438-4530-81e0-ef36b8cce783,1,42,42.000000,42
a93f061d-7038-4993-a948-be4b7034b354,1,49,49.000000,49
33ee54b5-0d80-4b24-b785-abcf45ee1e3f,3,100,33.333333,56
169a37aa-17e8-4998-adea-e8e08e08013f,2,80,40.000000,61
ae58f689-c66b-4ec7-8bea-c1ef1490288a,1,54,54.000000,54
bb4fc561-441d-4dc9-b9b0-9248820ad968,6,90,15.000000,35
1637a67a-3e43-4ba3-9c63-dd1b557dcc19,2,34,17.000000,31
6ac4be27-6951-4110-953b-42994ca04dfc,1,75,75.000000,75
bdc5938a-77a5-4148-8281-898e87238451,1,113,113.000000,113
644cc752-3d2b-4bc8-8521-9c913e09170f,1,14,14.000000,14
06bae8fb-0776-4dad-ab94-34d99d38f70b,4,45,11.250000,16
91675abf-4d79-497f-8fa5-224ae0472254,10,103,10.300000,41
36a6b0df-5d2f-43d0-afd8-c151b0ebd25b,5,69,13.800000,38
ece552c2-b04a-49f3-a01f-244ea2be828f,15,91,6.066667,14
e7dddb75-ce7a-4c4a-a047-cd3c7c12c4f7,9,84,9.333333,26
e43b733a-2cf6-41eb-9a50-46282a0c37fa,1,8,8.000000,8
289638d6-a850-4690-a2cd-3f4189665d44,5,47,9.400000,13
7fd39831-e264-4ed0-a0b6-8d05bbcbb38c,1,54,54.000000,54
1e4d3af4-cc42-44a9-b716-96fcf81a25a5,2,24,12.000000,20
94560f9c-6b13-4732-ac39-78f6d48a8133,1,61,61.000000,61
6ba68ba3-3aee-4198-9e5e-f659b55375bd,10,64,6.400000,25
dca7d97b-a46b-482b-b513-4c3ef1fa7dbf,3,91,30.333333,40
c49c5729-6dda-416a-91d6-3fec37394388,8,72,9.000000,16
ba986e5c-6165-4761-8c5b-a7cb1bdaa9f8,1,43,43.000000,43
fd026db8-dad8-4f55-8016-d469844b2862,10,88,8.800000,24
8aa0c34c-dda5-43e4-a825-202ddad15708,9,83,9.222222,30
94d77a1e-9dfa-42b7-a41e-eba20dbbf8f1,1,1,1.000000,1
cb8044c4-b13f-45a5-a981-ad46f7a15bd9,1,58,58.000000,58
70aa3c86-1745-40da-9072-13ac3ed78efd,1,92,92.000000,92
823d6947-79a9-472f-8242-e07220bcaa02,6,85,14.166667,37
5c2dcee3-4c6f-4ac5-bebf-393949ab845c,2,77,38.500000,72
050de4b3-0882-4235-9554-9a624b8850fb,6,37,6.166667,14
f2d0957c-12af-426d-8d09-fdbbb4e0de0b,2,78,39.000000,66
686a875f-c72b-4803-b21d-8a7401fe132a,9,63,7.000000,18
51e67b1a-ddcd-479b-8d42-f1d1410e814d,5,57,11.400000,24
df2d69ac-fbca-4b9e-8df4-d499bb27b403,1,77,77.000000,77
22d63a23-9d58-4c8c-b5fc-433ef6baa9fb,3,90,30.000000,54
ccf8bf15-e8fb-483c-83c9-e0523a2d0daa,7,55,7.857143,21
324e32c2-c915-4c0a-a5c3-7f7b6a758fd3,1,14,14.000000,14
af421bd7-84d7-4b0b-b621-c9b4091d1b06,2,50,25.000000,35
a714a287-37fd-4f34-ad8a-46580b566abe,5,71,14.200000,30
5a772c33-5555-4594-83d5-0410a67adc71,2,46,23.000000,37
ac7c0dae-6fe3-48e3-97b7-ab62571a0eb1,9,89,9.888889,18
