real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
7fd39831-e264-4ed0-a0b6-8d05bbcbb38c,1,2,2.000000,2
c17f5405-360e-43d7-9b50-bccf6faf2207,1,55,55.000000,55
299be603-a667-4e4b-9287-3e88c441d26c,1,23,23.000000,23
907af844-581a-4044-8ddb-8bcc91df32f9,1,49,49.000000,49
f2d0957c-12af-426d-8d09-fdbbb4e0de0b,2,36,18.000000,24
30f64336-9100-4dbf-b67b-4a2096a38da9,2,17,8.500000,14
c07ff153-9e23-4312-a895-634db3ee5e20,6,52,8.666667,23
da1a2d7f-932d-4a30-b182-c07ecc3443ac,6,25,4.166667,7
70aa3c86-1745-40da-9072-13ac3ed78efd,1,48,48.000000,48
686a875f-c72b-4803-b21d-8a7401fe132a,4,23,5.750000,10
a570d9cd-f8c7-4a04-acd2-701cc226b960,1,2,2.000000,2
91675abf-4d79-497f-8fa5-224ae0472254,2,46,23.000000,45
5ac34c91-a3b4-4a11-a940-a4babf02057f,1,35,35.000000,35
10c196fc-2c76-4e4b-b628-4472949c39c3,1,56,56.000000,56
2f38656b-76d5-4b46-a81d-c90b96495673,6,56,9.333333,23
31fa27b8-6c4d-47b2-8566-b4af4d9ca9e8,9,55,6.111111,23
f812d842-42ac-4a21-8073-f483c059ca2d,1,34,34.000000,34
2bef0281-b2d9-41ac-967c-45835e5ba8c0,8,52,6.500000,21
36027d15-9fa5-4ada-bf4b-ed5b5daa5587,1,8,8.000000,8
d4be492d-c9ee-46a0-b1ab-076386b61b85,1,2,2.000000,2
5a772c33-5555-4594-83d5-0410a67adc71,2,12,6.000000,9
7a26546e-0a07-423c-9e97-0ef56212920d,3,56,18.666667,48
039c70da-6930-47d6-bdfd-f1d429ade760,1,15,15.000000,15
2847c646-a1c3-45b5-815f-46681e3db9c1,1,40,40.000000,40
a1a87013-2cc1-4ab5-a85b-9fd21ffffe4b,1,43,43.000000,43
340b7157-11e5-4463-a088-59ca98df39cd,1,41,41.000000,41
