assigned_id,nb_assigned_ids,nb_fingerprints,ownership,id_ownership
b230c165-4b4b-4db2-a5a9-72e546041406,1,42,1.000000,8d7e30ed-2eb2-48c9-ad99-3d0e8cf03e99
b8bb3ab8-3f07-4f7b-aca5-131eb192e099,1,19,1.000000,8b10f12f-516a-44ee-9e79-134d040d1ef4
f4534dba-5667-4111-a6f8-6b3717895035,1,3,1.000000,18812d7d-3e1e-4084-ad30-79ac968a2fa5
4c0e5b09-8af1-48a5-a141-324667cb7e19,1,2,1.000000,d4be492d-c9ee-46a0-b1ab-076386b61b85
19e153c5-e298-4bda-b193-09862f639fbb,1,12,1.000000,7f683754-6c34-4de6-b54f-367de9daf770
f4741fff-f281-4bf5-9b97-c0a6aa8ff7ba,1,3,1.000000,5fe18d2a-1ec2-4075-adfc-637e282721b4
cf413abc-9928-4755-8a6c-e3ef3d083bf9,1,29,1.000000,1f84d45e-8689-42bf-9ad5-0f9c8753fbde
d570e329-4157-40be-a036-0989d63ab1cf,1,2,1.000000,2bef0281-b2d9-41ac-967c-45835e5ba8c0
e23ed3e9-882d-4baa-a3de-3bb7e2983585,1,2,1.000000,595525a1-8ff1-493d-bdef-74ecb74d182b
fc24ddd4-aa11-4969-8c71-3b31f9047f4a,1,5,1.000000,a1e159d8-57d0-47b8-9d45-24df63d3595a
6fd76716-5b9e-4580-b1bf-9f2dfca1ace5,1,9,1.000000,768f8c65-6279-4be8-98a6-af3595dc5f5f
9cbab304-fe6b-4d63-a311-88ffb5c5d8e2,3,29,0.448276,34f99a24-a6bb-4995-b47c-e02f1c26a820
5d6022a5-2f17-47ad-84dc-ec77b9dff550,1,2,1.000000,efca79c2-0b12-4ce7-a28f-68ad9193990d
e17043cf-1e72-4821-a220-c233227c802c,1,21,1.000000,2847c646-a1c3-45b5-815f-46681e3db9c1
7ba27c62-baa8-4415-ac12-ea9dbb735117,1,46,1.000000,adf5227c-74ef-49bf-b9fc-2fb8cf302732
1f1b40f6-63af-4c35-96cb-2abbb4abc6ad,1,4,1.000000,b811ccd0-a9ef-40ef-8326-d8efbf85e50f
26ba1527-1a2a-437f-9558-c7c959cdb9cf,1,2,1.000000,06b6d1b3-dda3-4743-96f5-a45079ab6996
e5dee632-68ca-4691-a71a-3548a6ca4f00,1,13,1.000000,0062535e-d9ab-4cb0-ae8f-79133b440129
672a31d5-6ffc-4135-bd5a-0be416dc401e,1,3,1.000000,2c383b80-2256-4ece-81d4-c81290a10a14
fd8e4379-9fef-4e30-a9e8-1ecc6fa9dbf5,1,1,1.000000,98c881d4-c19a-4d67-b99a-238515d05638
b2355466-f15b-43d2-aff2-485970dc1188,1,2,1.000000,29cc433b-5fc2-46f5-9183-c76d4be7a356
80486b48-8f23-4112-97b5-f9d23a92eefb,1,35,1.000000,f61809d2-a428-4a2c-81e4-461ea9908687
e7e0551d-546d-40a2-ade5-56363506e861,1,8,1.000000,e99b3521-4e62-4230-b899-85c9dbed1921
64df3bab-58e7-4eb1-9374-6e1b4df073b3,1,8,1.000000,6c1f708c-f3e9-4d9e-a0ae-311ba42c139a
860ea479-07fe-4c62-9cfc-4971e549d7af,1,7,1.000000,c28aa37d-571e-4b43-bf01-aa14eeb765e7
b672b8e0-ba0a-4fe5-bad0-13a712271978,1,12,1.000000,a7f1b3c9-e8d6-4ed4-a7c3-2a17b414596a
df293f30-e999-40da-ac2f-983def728d68,1,22,1.000000,5d6b65a6-6a87-4085-900c-575ab429c359
039c6183-7ec2-493a-bc02-9c4b2eb4f34f,1,8,1.000000,ecd9aab5-ddc6-4cf9-97f2-03e3018e6076
c410708e-3cc2-475a-a08b-3d33d511aa78,1,17,1.000000,bd02a352-b7dd-4dbf-a0df-245aab548fe9
bbd76b6e-3829-48b2-9138-65b7c93aed47,1,2,1.000000,1d39f953-a08e-494e-acf6-e594832b010a
63263554-7129-4824-bc65-68be1678d66a,1,2,1.000000,c33e02f8-4665-4d6c-8781-4a5c991889da
83b39bcc-9854-45da-ab7e-0bbba322f234,1,2,1.000000,d7969eaf-cd67-4ac5-b060-393d864f8525
c4600d10-44be-40d8-b5df-a538ae022eaf,1,33,1.000000,9a750eec-46c2-4720-b481-a0d6f03af47b
bc3d978c-7c2a-4170-b5dd-ac008e3ed486,1,33,1.000000,1a2a7fa6-a936-4e87-a513-50ea19f0483e
bfe9c40a-c33a-4bae-9e5b-2aee6f32121e,3,34,0.764706,5e5bd954-ae5a-4f7d-a16b-85bc7f3203e5
d86acef9-f647-41b6-8599-7827404a5e21,1,39,1.000000,3284e414-8b55-431b-996f-5e5cf9e96ed9
b1a1b270-5a71-47aa-870f-82f0597a58b0,1,2,1.000000,7ce6f4e7-3343-4519-8d80-7b97f0fa9e57
d00e837a-c328-4a4e-b06c-a7140bfd5033,1,22,1.000000,6bbe076c-62a2-4eae-9e57-e45c85c909b2
69084072-45b0-42ac-9603-a69661b3cc37,2,9,0.888889,6703acf0-f2c1-4b80-a158-fbbe091d3948
526d3ea1-888e-4181-9685-1a245ca9036c,1,6,1.000000,5ac34c91-a3b4-4a11-a940-a4babf02057f
e702b5c5-56bb-4063-9a5c-691ec83b6f7d,1,2,1.000000,a3f79161-ce4f-4ec0-9c53-67b5d89375d4
0520d3c4-9931-4eef-b162-58d54fc4a803,1,18,1.000000,bb86048e-c4fd-4bc1-8fda-a4fb5b391a14
91e3ce9b-3660-4942-91af-99b4cd0bb4f2,1,24,1.000000,1729815c-0eca-4350-ab5c-5ce2c530fcd4
7f6f180d-77cd-4806-a77c-319707e041fc,1,3,1.000000,8e7f3b7f-2631-4b94-a2ae-31e8f02f07cd
d7b535ef-8779-401e-8893-cda32d352e91,1,1,1.000000,be62454c-9208-4099-9ed2-02aa2de09509
0127494b-e4ae-439d-8e30-4dd74c7fe4f8,2,7,0.714286,b31c10f0-ddb3-4d3f-b6b1-6ac865523ec8
a8d12f41-1037-40ea-9849-e3714c357d54,1,6,1.000000,30f64336-9100-4dbf-b67b-4a2096a38da9
c1c14934-4c3c-4b10-8cda-cbf791110e69,2,60,0.716667,5e3d6bde-1451-4103-89a6-c67d81f63ed6
f10c8d94-ff3e-439d-8509-cd7d7a264e5c,1,1,1.000000,849e3617-6a09-4b25-8eb9-efdae87a793c
88c3d8c0-e8ff-471b-8bfb-3d449e8840ac,1,17,1.000000,8e72a8bd-ae9b-460b-9573-aba4b21efb12
55d508d4-5c08-4895-abdf-a09694b4193f,2,31,0.580645,17b99863-8bfd-492d-8451-374fd7cde36c
26ce832c-cab9-42a8-a675-4da9ebd0cf6a,1,6,1.000000,628a06f1-ca1e-4e6e-9b38-5e23da554b53
afd5be3a-96b0-4acd-b40a-395272952538,1,21,1.000000,15f3a523-0299-4249-8ccc-fee0b320040f
fe76a22e-ef6d-4215-a049-d1f372f7af33,1,4,1.000000,8a0fe7de-deff-4ffa-acbf-192cb2d37b39
981da118-f561-45e8-9b8d-5eb6468990f3,1,1,1.000000,1bc74fba-d84b-4bcc-9386-cb329e96d9e3
9031f2ff-83b5-4057-9374-5bbd401a7f3b,1,21,1.000000,553ad3d4-3bb0-43b3-ad8a-356e97057a27
04a2b4dd-54af-418a-9f86-27279f63fd2a,1,1,1.000000,c17f5405-360e-43d7-9b50-bccf6faf2207
7d799d56-ad02-42a2-a6ad-0e734d5ebd7d,1,4,1.000000,3080614b-46eb-4c0d-b1ff-b9dc13bbc44b
117e16da-00ed-479f-9856-50ed1eb4cc52,1,4,1.000000,b10b18e5-cc00-4fd7-9fba-b538c181d05b
55e96d58-b808-4220-9978-0034496a9ae5,1,8,1.000000,4f84b332-20fa-45e8-b9e0-e9fd0839492a
7e4fa476-24f4-4ac9-863d-ec73ab1eded4,1,2,1.000000,5e1920ed-d676-4151-a8ff-1153e7b7561f
04c26232-b1c5-4788-bb3e-9b2f71e247c1,1,10,1.000000,68e7ae29-15ff-402c-adc1-76d5a932c984
ba2bcd9b-b2f2-4942-b04a-4e466acea2e8,1,17,1.000000,e51675c9-0801-4428-adc3-cf4b532be589
d9ed6dd4-b2dc-4155-99da-a44922b8deb0,1,3,1.000000,d4be492d-c9ee-46a0-b1ab-076386b61b85
47274675-c08d-4143-8aa8-6745ec303d24,1,1,1.000000,b34a8c1a-f43f-4635-9799-9891ed21239a
2a5be4fc-d48a-4b32-811e-abf00b564e37,1,2,1.000000,2bef0281-b2d9-41ac-967c-45835e5ba8c0
e6f1f748-0892-47de-8f26-e12116626cc4,1,8,1.000000,595525a1-8ff1-493d-bdef-74ecb74d182b
4b7d663f-86c3-496e-adf1-7791034809af,1,5,1.000000,b8f4eb79-baaf-442b-ada2-5bcd5cf89df4
a3df903c-fe3f-4778-ba7a-89017e4b388c,2,22,0.909091,15c7af42-87ad-4bc8-92fa-52ae8f2040fa
0d8118d1-e12a-4ec3-a46e-91fa993e374e,1,1,1.000000,8537fdf9-7619-499b-b288-a3cfa1ee546f
fa07fad5-98d4-4a71-807a-d8c19899d56d,1,2,1.000000,efca79c2-0b12-4ce7-a28f-68ad9193990d
a3062502-795d-48cd-9668-1aecb6306c56,1,2,1.000000,a06a6baa-a68b-42fe-a709-0053627f90d7
704287a8-36df-4e48-ada2-cd4246462242,1,17,1.000000,ad30762b-ff39-441d-a0f7-d388fcb65c5d
a1c17668-b0b6-4b7b-a330-2861192b6725,1,5,1.000000,06b6d1b3-dda3-4743-96f5-a45079ab6996
7e3fed06-afb3-4f4c-99b3-bba1d70dfdc8,2,23,0.956522,4f2ed62c-2a18-4888-86c1-aa01ba21b64f
3cd7ea2f-aa06-4a5f-a10d-e9565f5cace0,1,43,1.000000,21cbaff6-4d5f-4083-9edf-9523563b74ae
7ff25271-b33d-4471-959b-1ee9668ae460,3,55,0.690909,849e3617-6a09-4b25-8eb9-efdae87a793c
f053c229-6aca-4150-bd5a-6b3c2bddfb3d,1,3,1.000000,4d49cfb2-841d-4a04-81cb-7d1b39a507b4
0c435577-a1f0-49cb-81ab-c23199bf905b,1,38,1.000000,1bc74fba-d84b-4bcc-9386-cb329e96d9e3
3508e7a1-a7c3-4068-8180-50c95035c516,1,29,1.000000,9a8ce184-8911-4e32-be51-261497e0d919
02eef0c0-8d7d-4138-b163-bfdc8c5c9f3c,1,37,1.000000,c17f5405-360e-43d7-9b50-bccf6faf2207
253780f6-d4f9-4bd7-ad73-4fa44ef0fdec,1,26,1.000000,49fcf025-22ca-4e4b-85b8-278b855e63b7
0b02df97-531f-4e17-8f55-dafa991ba6f0,1,6,1.000000,1d39f953-a08e-494e-acf6-e594832b010a
f8bbb7b7-9e9b-4670-9866-e314dae7eb45,1,47,1.000000,bc89da45-e92d-43b3-82e6-e4633ecdb0db
9c720200-b5a1-49f8-9826-54d0c85a2716,1,5,1.000000,639303f6-00f5-4aec-a487-291f27972688
ef853502-d961-4791-bdc1-8c47d3377878,1,1,1.000000,c33e02f8-4665-4d6c-8781-4a5c991889da
7fadb15b-81db-4aaf-a9bf-408097b165a6,1,48,1.000000,bc19c32d-a271-4dd7-b5e6-62d36d1a3128
d03b333b-a4c5-44f3-bd9d-36b1fa9ac658,1,23,1.000000,d7969eaf-cd67-4ac5-b060-393d864f8525
21751b91-4b89-4849-a01d-15cd07e7ce4e,1,20,1.000000,2dd5f116-f355-4d81-9790-cb050463be55
e69360bd-af55-43b9-a1f9-95a1bf5ec784,2,51,0.901961,105b0c95-40d4-43ed-9328-6cbeb200183c
bc535a23-4fc8-4eb8-97f4-06b3da29356a,2,4,0.750000,4c7e79d1-ebd0-40e5-97cc-5156fe65e1ac
3c8a03b9-c94e-4922-83ac-d112f3e8eb6f,1,52,1.000000,18812d7d-3e1e-4084-ad30-79ac968a2fa5
a90485bf-b787-48ba-86bb-12cf17bbbce5,1,17,1.000000,5f118823-51ee-47bb-859f-1316523af0ed
729d2947-c6ab-482c-977e-76093c2eaedc,1,28,1.000000,71c102e5-a364-450a-b233-6c5e2976b9d1
1a28ae91-6b37-4514-976d-f851d1d34a11,1,21,1.000000,8537fdf9-7619-499b-b288-a3cfa1ee546f
