assigned_id,nb_assigned_ids,nb_fingerprints,ownership,id_ownership
212129a0-de1a-4382-84bc-997ed6cd3d5b,1,7,1.000000,8d7e30ed-2eb2-48c9-ad99-3d0e8cf03e99
bbb9c771-fe31-4033-a3ac-df78fee0bf11,1,7,1.000000,8b10f12f-516a-44ee-9e79-134d040d1ef4
88dcc76a-671d-4ea5-a2e4-0dd202684efa,1,164,1.000000,18812d7d-3e1e-4084-ad30-79ac968a2fa5
296830cd-ae46-4c27-9b06-311103cf78b6,1,1,1.000000,d4be492d-c9ee-46a0-b1ab-076386b61b85
1405fb27-90d6-4665-b0b3-b5870fb60a5f,1,35,1.000000,7f683754-6c34-4de6-b54f-367de9daf770
e622bc09-28e9-4266-a590-094c3d88debe,3,16,0.437500,5fe18d2a-1ec2-4075-adfc-637e282721b4
895a178a-023b-46e3-a92d-469999820320,1,1,1.000000,1f84d45e-8689-42bf-9ad5-0f9c8753fbde
671d87a5-bc83-45ea-95ba-2b1410ac92f4,2,49,0.571429,2bef0281-b2d9-41ac-967c-45835e5ba8c0
d5bc0d47-2853-48af-9768-d96427417e66,2,13,0.692308,8e7f3b7f-2631-4b94-a2ae-31e8f02f07cd
92abdce6-8fa2-4213-88e7-6fad5ce9c7ce,5,14,0.357143,06bc34ca-c98b-4c0d-9276-b7cf78be600e
08bdb090-d860-424a-8ee7-7da3bc16c564,1,1,1.000000,768f8c65-6279-4be8-98a6-af3595dc5f5f
8e1dbdfb-422f-48f2-b5df-5bde14be601f,1,1,1.000000,68942969-0475-4a26-931b-d1d8043a659c
5c5b58f6-8f39-4a07-ab23-b4b22f25ea82,1,7,1.000000,efca79c2-0b12-4ce7-a28f-68ad9193990d
e30d6f9f-7b6d-4e9d-a3e0-b5c08b04a637,1,4,1.000000,2847c646-a1c3-45b5-815f-46681e3db9c1
d8ffa77b-8488-4c6c-8513-965f77b548b0,1,1,1.000000,adf5227c-74ef-49bf-b9fc-2fb8cf302732
0e775fe9-ba74-48ff-bd47-81f8351e4e33,1,17,1.000000,b811ccd0-a9ef-40ef-8326-d8efbf85e50f
294f8ebe-fc7a-466a-8f6a-3ef2ed1f02a0,1,1,1.000000,06b6d1b3-dda3-4743-96f5-a45079ab6996
7876403c-dd52-4d01-a0e3-ac0c399d055a,1,1,1.000000,0062535e-d9ab-4cb0-ae8f-79133b440129
4742de3a-4ae5-48d4-84ef-ed5349f59959,1,12,1.000000,2c383b80-2256-4ece-81d4-c81290a10a14
fc1e33f2-0c3a-4a7d-ab48-246611c90bf5,1,5,1.000000,d4be492d-c9ee-46a0-b1ab-076386b61b85
b9c3f0a9-a17a-467b-b0a2-249e2bf3bad6,1,11,1.000000,1f84d45e-8689-42bf-9ad5-0f9c8753fbde
e56f1efd-a97f-45ef-829d-4cb9eb987893,1,4,1.000000,2bef0281-b2d9-41ac-967c-45835e5ba8c0
4f0e478c-8b1a-4ec3-b3c7-30087f430496,1,1,1.000000,768f8c65-6279-4be8-98a6-af3595dc5f5f
d7597d52-a4e1-48ea-af83-a67ca38ab8cb,1,7,1.000000,68942969-0475-4a26-931b-d1d8043a659c
831a8b4e-a19d-4455-bea4-ba8614178085,1,5,1.000000,efca79c2-0b12-4ce7-a28f-68ad9193990d
761fcb6b-9098-4674-9962-eb48242f2a68,1,17,1.000000,adf5227c-74ef-49bf-b9fc-2fb8cf302732
ad564ee4-4552-4379-88c8-10816880c4c0,1,1,1.000000,98c881d4-c19a-4d67-b99a-238515d05638
698b3168-fa51-4d53-a1d7-fda7d14477e4,1,1,1.000000,06b6d1b3-dda3-4743-96f5-a45079ab6996
cb4bb78b-202c-425b-ae73-60a532649bd6,1,4,1.000000,29cc433b-5fc2-46f5-9183-c76d4be7a356
d113d81d-d5ff-4790-8be4-123f55ba99a7,1,18,1.000000,0062535e-d9ab-4cb0-ae8f-79133b440129
d6060920-4e5b-4667-9a3d-b12f796b48a8,1,91,1.000000,f61809d2-a428-4a2c-81e4-461ea9908687
ecd8aa43-be7e-45d1-9f31-b2cf7beafb9c,1,10,1.000000,e99b3521-4e62-4230-b899-85c9dbed1921
f60c3800-fa16-4fd6-bd09-6c722fc8e968,1,8,1.000000,6c1f708c-f3e9-4d9e-a0ae-311ba42c139a
ca22a62a-aff9-480b-b405-30097c34a74b,1,1,1.000000,c28aa37d-571e-4b43-bf01-aa14eeb765e7
eb517605-3f5c-4618-83c2-90ec9733a0b1,1,1,1.000000,a7f1b3c9-e8d6-4ed4-a7c3-2a17b414596a
c5e59708-a711-4f34-b1da-218b17784a79,1,12,1.000000,a1e159d8-57d0-47b8-9d45-24df63d3595a
374077d0-2963-40c4-b0d9-bca583a704a3,1,1,1.000000,768f8c65-6279-4be8-98a6-af3595dc5f5f
b4f3498a-5fab-4bc7-8e36-b92cc123802f,1,5,1.000000,5d6b65a6-6a87-4085-900c-575ab429c359
d48f33a4-1bd5-4993-8be9-a70efc62e6ae,1,1,1.000000,ecd9aab5-ddc6-4cf9-97f2-03e3018e6076
b62bb96a-741d-4ea0-bce3-bc08e511bcf4,1,2,1.000000,bd02a352-b7dd-4dbf-a0df-245aab548fe9
c22d6097-11e8-4dc5-9072-6f3be07ba00d,1,1,1.000000,06b6d1b3-dda3-4743-96f5-a45079ab6996
